Year;Date;Host
1990;October 26;OTS Utrecht
1991;November 29;CWI Amsterdam
1992;October 30;ITK Tilburg
1993;November 25;Alfa-informatica Groningen
1994;November 23;TU Twente
1995;December 1;Antwerpen
1996;November 15;IPO Eindhoven
1997;December 12;Letteren KUN, Nijmegen
1998;December 11;CCL, KU Leuven
1999;December 10;OTS Utrecht
2000;November 3;Taal en Informatica, Tilburg
2001;November 30;Computer Science, University of Twente
2002;November 29;Alfa-informatica, University of Groningen
2003;December 19;Centre for Dutch Language and Speech, University of Antwerp
2004;December 17;Leiden Centre for Linguistics
2005;December 16;University of Amsterdam
2007;January 12;CCL, KU Leuven
2007;December 7;Radboud University Nijmegen
2009;January 22;Groningen University
2010;February 5;UiL-OTS, Utrecht University
2011;February 11;LT3, University College Ghent
2012;January 20;ILK, Tilburg University
2013;January 18;HMI, University of Twente, Enschede
2014;January 17;INL \& TST-Centrale, Leiden
2015;February 5-6;CLiPS, University of Antwerp
2016;December 18;CLTL, VU Amsterdam
2017;February 10;CCL, KU Leuven
2018;January 26;CLS, Radboud University
